Nombre_CL,sciName,speciesCode,comName_en
Cometocino de Arica,Idiopsar erythronotus,wtsfin1,White-throated Sierra Finch
Bandurrilla de la puna,Upucerthia validirostris,bubear2,Buff-breasted Earthcreeper
Dormilona de la puna,Muscisaxicola juninensis,pugtyr1,Puna Ground-Tyrant
Diuca de alas blancas,Idiopsar speculifer,wwdfin1,Glacier Finch
Minero de la puna,Geositta punensis,punmin1,Puna Miner
Queltehue de la puna,Vanellus resplendens,andlap1,Andean Lapwing
Perdicita cojón,Thinocorus orbignyianus,gybsee1,Gray-breasted Seedsnipe
Yal cordillerano,Melanodera xanthogramma,yebfin1,Yellow-bridled Finch
Chuncho del norte,Glaucidium peruanum,pepowl1,Peruvian Pygmy-Owl
Minero chico,Geositta maritima,gramin1,Grayish Miner
Benteveo rayado,Myiodynastes maculatus,strfly1,Streaked Flycatcher
Playero de lomo blanco,Calidris fuscicollis,whrsan,White-rumped Sandpiper
Perdiz andina,Nothoprocta pentlandii,andtin1,Andean Tinamou
Burrito negruzco,Laterallus spiloptera,dowcra1,Dot-winged Crake
Chorlo de Magallanes,Pluvianellus socialis,magplo1,Magellanic Plover
Picaflor azul,Colibri coruscans,spvear1,Sparkling Violetear
Tijeral listado,Leptasthenura striata,sttspi1,Streaked Tit-Spinetail
Canastero de las quebradas,Asthenes pudibunda,cancan1,Canyon Canastero
Carancho de garganta blanca,Daptrius albogularis,whtcar1,White-throated Caracara
Carancho cordillerano,Daptrius megalopterus,moucar1,Mountain Caracara
Chirihue dorado,Sicalis auriventris,gryfin2,Greater Yellow-Finch
Mero de Tarapacá,Agriornis micropterus,gybsht1,Gray-bellied Shrike-Tyrant
Golondrina barranquera,Riparia riparia,banswa,Bank Swallow
Parina chica,Phoenicoparrus jamesi,jamfla1,James's Flamingo
Cazamoscas de pico chato,Myiophobus rufescens,brcfly3,Rufescent Flycatcher
Negrillo,Volatinia jacarina,blbgra1,Blue-black Grassquit
Bandurrilla de pico recto,Ochetorhynchus ruficaudus,stbear2,Straight-billed Earthcreeper
Petrel de Westland,Procellaria westlandica,wespet1,Westland Petrel
Dormilona fraile,Muscisaxicola flavinucha,ongtyr1,Ochre-naped Ground-Tyrant
Tortolita de la puna,Metriopelia aymara,gsgdov1,Golden-spotted Ground Dove
Chirihue puneño,Sicalis lutea,puyfin1,Puna Yellow-Finch
Tenca patagónica,Mimus patagonicus,patmoc1,Patagonian Mockingbird
Batitú,Bartramia longicauda,uplsan,Upland Sandpiper
Playero manchado,Actitis macularius,sposan,Spotted Sandpiper
Perdiz copetona,Eudromia elegans,elctin1,Elegant Crested-Tinamou
Perdicita austral,Attagis malouinus,whbsee2,White-bellied Seedsnipe
Yal austral,Melanodera melanodera,cawfin1,White-bridled Finch
Chirihue austral,Sicalis lebruni,payfin1,Patagonian Yellow-Finch
Perdiz de la puna,Tinamotis pentlandii,puntin1,Puna Tinamou
Becacina de la puna,Gallinago andina,punsni1,Puna Snipe
Mero de la puna,Agriornis albicauda,wtstyr1,White-tailed Shrike-Tyrant
Dormilona de ceja blanca,Muscisaxicola albilora,wbgtyr1,White-browed Ground-Tyrant
Canastero de cola larga,Asthenes pyrrholeuca,shbcan2,Sharp-billed Canastero
Pidencito,Laterallus jamaicensis,blkrai,Black Rail
Tagua cornuda,Fulica cornuta,horcoo1,Horned Coot
Run-run,Hymenops perspicillatus,spetyr1,Spectacled Tyrant
Variegated Flycatcher,Empidonomus varius,varfly,Variegated Flycatcher
Suirirí real,Tyrannus melancholicus,trokin,Tropical Kingbird
Gaviota de las Galápagos,Creagrus furcatus,swtgul1,Swallow-tailed Gull
Petrel de Masatierra,Pterodroma defilippiana,maspet3,Masatierra Petrel
Golondrina de mar de vientre blanco,Fregetta grallaria,wbspet1,White-bellied Storm-Petrel
Petrel de Juan Fernández,Pterodroma externa,jufpet,Juan Fernandez Petrel
Piquero blanco,Sula dactylatra,masboo,Masked Booby
Fardela de dorso gris,Ardenna bulleri,bulshe,Buller's Shearwater
Ave fragata grande,Fregata minor,grefri,Great Frigatebird
Yunco de Humboldt,Pelecanoides garnotii,pedpet1,Peruvian Diving-Petrel
Dormilona rufa,Muscisaxicola capistratus,cibgrt1,Cinnamon-bellied Ground-Tyrant
Playero ártico,Calidris canutus,redkno,Red Knot
Becacina pintada,Nycticryphes semicollaris,soapas1,South American Painted-Snipe
Carancho negro,Daptrius australis,strcar1,Striated Caracara
Fardela capirotada,Ardenna gravis,greshe,Great Shearwater
Petrel de Masafuera,Pterodroma longirostris,stepet,Stejneger's Petrel
Dormilona cenicienta,Muscisaxicola cinereus,cingrt1,Cinereous Ground-Tyrant
Ave del trópico de cola roja,Phaethon rubricauda,rettro,Red-tailed Tropicbird
Perdicita cordillerana,Attagis gayi,rubsee2,Rufous-bellied Seedsnipe
Cometocino de dorso castaño,Idiopsar dorsalis,rbsfin1,Red-backed Sierra Finch
Petrel damero,Daption capense,cappet,Pintado Petrel
Dormilona de frente negra,Muscisaxicola frontalis,bfgtyr1,Black-fronted Ground-Tyrant
Bandurria de la puna,Theristicus branickii,bkfibi2,Andean Ibis
Chorlito cordillerano,Phegornis mitchellii,diaplo1,Diademed Sandpiper-Plover
Picaflor de Juan Fernández,Sephanoides fernandensis,juffir1,Juan Fernandez Firecrown
Cachudito de Juan Fernández,Anairetes fernandezianus,jfttyr1,Juan Fernandez Tit-Tyrant
Gaviotín de San Félix,Anous stolidus,brnnod,Brown Noddy
Gaviotín de San Ambrosio,Anous albivitta,grynod1,Gray Noddy
Petrel de Kermadec,Pterodroma neglecta,kerpet,Kermadec Petrel
Fardela de Pascua,Puffinus nativitatis,chrshe,Christmas Shearwater
Albatros errante,Diomedea exulans,wanalb1,Snowy Albatross
Albatros de cabeza gris,Thalassarche chrysostoma,gyhalb,Gray-headed Albatross
Petrel azulado,Halobaena caerulea,blupet1,Blue Petrel
Minero grande,Geositta isabellina,crrmin1,Creamy-rumped Miner
Pingüino papúa,Pygoscelis papua,genpen1,Gentoo Penguin
Paloma antártica,Chionis albus,snoshe2,Snowy Sheathbill
Albatros real del sur,Diomedea epomophora,royalb2,Southern Royal Albatross
Yunco de los canales,Pelecanoides urinatrix,codpet1,Common Diving-Petrel
Albatros de Buller,Thalassarche bulleri,bulalb2,Buller's Albatross
Gaviota de capucho gris,Chroicocephalus cirrocephalus,grhgul,Gray-hooded Gull
Gaviotín de pico grande,Phaetusa simplex,labter1,Large-billed Tern
Albatros de manto claro,Phoebetria palpebrata,limalb1,Light-mantled Albatross
Gaviotín boreal,Sterna hirundo,comter,Common Tern
Golondrina de mar chica,Oceanites gracilis,wvspet1,Elliot's Storm-Petrel
Golondrina de mar de collar,Hydrobates hornbyi,rispet1,Ringed Storm-Petrel
Piquero de Cocos,Sula brewsteri,cocboo1,Cocos Booby
Golondrina de mar de vientre negro,Fregetta tropica,bbspet1,Black-bellied Storm-Petrel
Petrel Atlántico,Pterodroma incerta,atlpet1,Atlantic Petrel
Gaviotín blanco,Gygis candida,whiter4,Blue-billed White-Tern
Pidén austral,Rallus antarcticus,ausrai1,Austral Rail
Petrel-paloma antártico,Pachyptila desolata,dovpri1,Antarctic Prion
Petrel-paloma de pico delgado,Pachyptila belcheri,slbpri1,Slender-billed Prion
Cazamoscas chocolate,Neoxolmis rufiventris,chvtyr2,Chocolate-vented Tyrant
Golondrina de mar peruana,Hydrobates tethys,wrspet,Wedge-rumped Storm-Petrel
Golondrina de mar de cara blanca,Pelagodroma marina,wfspet,White-faced Storm-Petrel
Piquero de patas rojas,Sula sula,refboo,Red-footed Booby
Petrel de Kerguelen,Aphrodroma brevirostris,kerpet2,Kerguelen Petrel
Ave del trópico de pico rojo,Phaethon aethereus,rebtro,Red-billed Tropicbird
Albatros de Chatham,Thalassarche eremita,shyalb2,Chatham Albatross
Pollito de mar rojizo,Phalaropus fulicarius,redpha1,Red Phalarope
Ave del trópico de cola blanca,Phaethon lepturus,whttro,White-tailed Tropicbird
Pingüino de penacho amarillo,Eudyptes chrysocome,rocpen2,Western Rockhopper Penguin
Cazamoscas tijereta,Tyrannus savana,fotfly,Fork-tailed Flycatcher
Pájaro amarillo,Pseudocolopteryx citreola,ticdor1,Ticking Doradito
Fardela chica,Puffinus elegans,litshe4,Subantarctic Shearwater
Churrete austral,Cinclodes antarcticus,blacin1,Blackish Cinclodes
Albatros de las Antípodas/de Gibson,Diomedea antipodensis,antalb1,Antipodean Albatross
Bailarín chico peruano,Anthus peruvianus,yelpip3,Peruvian Pipit
Gaviota reidora,Leucophaeus atricilla,laugul,Laughing Gull
Patagón,Ochetorhynchus phoenicurus,batear1,Band-tailed Earthcreeper
Fardela atlántica,Puffinus puffinus,manshe,Manx Shearwater
Piranga roja,Piranga rubra,sumtan,Summer Tanager
